[2026-08-29 13:36:38] PDB files: 197
[2026-08-29 13:36:40] A0A140D2T1_ZIKV_Sourisseau_2019 (A0A140D2T1_ZIKV): mapped 504/3423 residues, pass_rate=0.15, median_plddt=88.9
[2026-08-29 13:37:05] SCN5A_HUMAN_Glazer_2019 (SCN5A_HUMAN): mapped 2016/2016 residues, pass_rate=1.00, median_plddt=68.5
[2026-08-29 13:37:05] SDA_BACSU_Tsuboyama_2023_1PV0 (SDA_BACSU): mapped 44/44 residues, pass_rate=1.00, median_plddt=96.5
[2026-08-29 13:37:05] SERC_HUMAN_Xie_2023 (SERC_HUMAN): mapped 370/370 residues, pass_rate=1.00, median_plddt=98.4
[2026-08-29 13:37:05] SHOC2_HUMAN_Kwon_2022 (SHOC2_HUMAN): mapped 582/582 residues, pass_rate=1.00, median_plddt=97.3
[2026-08-29 13:37:05] SOX30_HUMAN_Tsuboyama_2023_7JJK (SOX30_HUMAN): mapped 57/57 residues, pass_rate=1.00, median_plddt=93.2
[2026-08-29 13:37:05] SPA_STAAU_Tsuboyama_2023_1LP1 (SPA_STAAU): mapped 55/55 residues, pass_rate=1.00, median_plddt=93.2
[2026-08-29 13:37:05] SPG1_STRSG_Olson_2014 (SPG1_STRSG): mapped 448/448 residues, pass_rate=1.00, median_plddt=87.4
[2026-08-29 13:37:05] SPG1_STRSG_Wu_2016 (SPG1_STRSG): mapped 448/448 residues, pass_rate=1.00, median_plddt=77.4
[2026-08-29 13:37:05] SPG2_STRSG_Tsuboyama_2023_5UBS (SPG2_STRSG): mapped 56/56 residues, pass_rate=1.00, median_plddt=95.3
[2026-08-29 13:37:05] SPIKE_SARS2_Starr_2020_binding (SPIKE_SARS2): mapped 1273/1273 residues, pass_rate=1.00, median_plddt=86.8
[2026-08-29 13:37:05] SPIKE_SARS2_Starr_2020_expression (SPIKE_SARS2): mapped 1273/1273 residues, pass_rate=1.00, median_plddt=86.8
[2026-08-29 13:37:05] SPTN1_CHICK_Tsuboyama_2023_1TUD (SPTN1_CHICK): mapped 60/60 residues, pass_rate=1.00, median_plddt=97.5
[2026-08-29 13:37:05] SQSTM_MOUSE_Tsuboyama_2023_2RRU (SQSTM_MOUSE): mapped 40/40 residues, pass_rate=1.00, median_plddt=92.3
[2026-08-29 13:37:05] SR43C_ARATH_Tsuboyama_2023_2N88 (SR43C_ARATH): mapped 48/48 residues, pass_rate=1.00, median_plddt=83.9
[2026-08-29 13:37:05] SRBS1_HUMAN_Tsuboyama_2023_2O2W (SRBS1_HUMAN): mapped 67/67 residues, pass_rate=1.00, median_plddt=97.8
[2026-08-29 13:37:05] SRC_HUMAN_Ahler_2019 (SRC_HUMAN): mapped 536/536 residues, pass_rate=1.00, median_plddt=95.8
[2026-08-29 13:37:05] SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM (SRC_HUMAN): mapped 536/536 residues, pass_rate=1.00, median_plddt=95.8
[2026-08-29 13:37:05] SRC_HUMAN_Nguyen_2022 (SRC_HUMAN): mapped 536/536 residues, pass_rate=1.00, median_plddt=95.8
[2026-08-29 13:37:05] SUMO1_HUMAN_Weile_2017 (SUMO1_HUMAN): mapped 101/101 residues, pass_rate=1.00, median_plddt=85.7
[2026-08-29 13:37:05] SYUA_HUMAN_Newberry_2020 (SYUA_HUMAN): mapped 140/140 residues, pass_rate=1.00, median_plddt=74.0
[2026-08-29 13:37:05] TADBP_HUMAN_Bolognesi_2019 (TADBP_HUMAN): mapped 414/414 residues, pass_rate=1.00, median_plddt=40.5
[2026-08-29 13:37:05] TAT_HV1BR_Fernandes_2016 (TAT_HV1BR): mapped 86/86 residues, pass_rate=1.00, median_plddt=91.5
[2026-08-29 13:37:05] TCRG1_MOUSE_Tsuboyama_2023_1E0L (TCRG1_MOUSE): mapped 37/37 residues, pass_rate=1.00, median_plddt=86.4
[2026-08-29 13:37:05] THO1_YEAST_Tsuboyama_2023_2WQG (THO1_YEAST): mapped 41/41 residues, pass_rate=1.00, median_plddt=78.3
[2026-08-29 13:37:05] TNKS2_HUMAN_Tsuboyama_2023_5JRT (TNKS2_HUMAN): mapped 59/59 residues, pass_rate=1.00, median_plddt=97.5
[2026-08-29 13:37:05] TPK1_HUMAN_Weile_2017 (TPK1_HUMAN): mapped 243/243 residues, pass_rate=1.00, median_plddt=98.5
[2026-08-29 13:37:05] TPMT_HUMAN_Matreyek_2018 (TPMT_HUMAN): mapped 245/245 residues, pass_rate=1.00, median_plddt=98.2
[2026-08-29 13:37:05] TPOR_HUMAN_Bridgford_2020 (TPOR_HUMAN): mapped 635/635 residues, pass_rate=1.00, median_plddt=86.7
[2026-08-29 13:37:05] TRPC_SACS2_Chan_2017 (TRPC_SACS2): mapped 248/248 residues, pass_rate=1.00, median_plddt=98.5
[2026-08-29 13:37:05] TRPC_THEMA_Chan_2017 (TRPC_THEMA): mapped 252/252 residues, pass_rate=1.00, median_plddt=97.9
[2026-08-29 13:37:05] UBC9_HUMAN_Weile_2017 (UBC9_HUMAN): mapped 159/159 residues, pass_rate=1.00, median_plddt=98.0
[2026-08-29 13:37:05] UBE4B_HUMAN_Tsuboyama_2023_3L1X (UBE4B_HUMAN): mapped 69/69 residues, pass_rate=1.00, median_plddt=97.3
[2026-08-29 13:37:05] UBE4B_MOUSE_Starita_2013 (UBE4B_MOUSE): mapped 1173/1173 residues, pass_rate=1.00, median_plddt=90.0
[2026-08-29 13:37:05] UBR5_HUMAN_Tsuboyama_2023_1I2T (UBR5_HUMAN): mapped 58/58 residues, pass_rate=1.00, median_plddt=97.3
[2026-08-29 13:37:05] VG08_BPP22_Tsuboyama_2023_2GP8 (VG08_BPP22): mapped 40/40 residues, pass_rate=1.00, median_plddt=88.2
[2026-08-29 13:37:05] VILI_CHICK_Tsuboyama_2023_1YU5 (VILI_CHICK): mapped 65/65 residues, pass_rate=1.00, median_plddt=97.3
[2026-08-29 13:37:05] VKOR1_HUMAN_Chiasson_2020_abundance (VKOR1_HUMAN): mapped 163/163 residues, pass_rate=1.00, median_plddt=91.3
[2026-08-29 13:37:05] VKOR1_HUMAN_Chiasson_2020_activity (VKOR1_HUMAN): mapped 163/163 residues, pass_rate=1.00, median_plddt=91.4
[2026-08-29 13:37:05] VRPI_BPT7_Tsuboyama_2023_2WNM (VRPI_BPT7): mapped 56/56 residues, pass_rate=1.00, median_plddt=89.0
[2026-08-29 13:37:05] YAIA_ECOLI_Tsuboyama_2023_2KVT (YAIA_ECOLI): mapped 52/52 residues, pass_rate=1.00, median_plddt=92.2
[2026-08-29 13:37:05] YAP1_HUMAN_Araya_2012 (YAP1_HUMAN): mapped 504/504 residues, pass_rate=1.00, median_plddt=87.4
[2026-08-29 13:37:05] YNZC_BACSU_Tsuboyama_2023_2JVD (YNZC_BACSU): mapped 39/39 residues, pass_rate=1.00, median_plddt=95.6
[2026-08-29 13:37:05] assays with PDB: 217/217
[2026-08-29 13:37:05] variants with pLDDT: 0.990
[2026-08-29 13:37:05] proteins with pass_rate < 0.5: 2 -> ['A0A140D2T1_ZIKV', 'POLG_HCVJF']
[2026-08-29 13:37:06] structure_features.parquet: 696311 rows
[2026-08-29 13:37:06] elapsed_seconds=29.7
